epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.265,1.5821,2.20011,1.41938,0.65759,0.71231,0.63657,0.38108,1.4953,1.80405,1.28548,0.000331439,0.000331439,0.0671875
2,300.649,1.4665,1.56149,1.38143,0.88916,0.65981,0.69346,0.44953,1.3625,1.28117,1.25353,0.000664609,0.000664609,0.0341873
3,455.36,1.45195,1.51791,1.36871,0.5548,0.59611,0.57547,0.32745,1.65181,2.34171,1.36007,0.000997121,0.000997121,0.00118652
4,609.62,1.44997,1.5372,1.37747,0.87199,0.68383,0.70774,0.40454,1.62646,1.27407,1.32618,0.000997781,0.000997781,0.000997781
5,763.518,1.41746,1.47461,1.35403,0.71853,0.6993,0.68533,0.37709,1.67864,1.2809,1.38788,0.000996058,0.000996058,0.000996058
6,917.022,1.38702,1.38088,1.35025,0.7694,0.68554,0.68247,0.47924,1.40017,1.2025,1.2202,0.000993845,0.000993845,0.000993845
7,1072.77,1.36948,1.33332,1.31325,0.70304,0.70588,0.68324,0.46014,1.52133,1.11214,1.2928,0.000991145,0.000991145,0.000991145
8,1225.53,1.36704,1.3513,1.30884,0.70463,0.77561,0.7128,0.49104,1.33039,1.03694,1.19748,0.00098796,0.00098796,0.00098796
9,1378.3,1.35583,1.31754,1.29723,0.94517,0.69233,0.70857,0.49262,1.3296,0.9432,1.18605,0.000984293,0.000984293,0.000984293
10,1531.82,1.3319,1.27867,1.29438,0.82331,0.72236,0.72765,0.4293,1.59599,1.1332,1.31587,0.000980149,0.000980149,0.000980149
11,1686.81,1.35201,1.29384,1.29884,0.80326,0.70047,0.72413,0.51948,1.15747,1.05915,1.13522,0.000975531,0.000975531,0.000975531
12,1841.07,1.3145,1.26894,1.28681,0.78874,0.71037,0.709,0.4536,1.31269,0.91981,1.17249,0.000970443,0.000970443,0.000970443
13,1993.28,1.31806,1.26625,1.29781,0.72583,0.74197,0.71462,0.50665,1.17069,0.91694,1.14748,0.000964892,0.000964892,0.000964892
